,report_month,portal_id,product,calendar_days_remaining,day of month,mrr_net_pm_bom,cancel_classified,geography,segment,sub_segment,partner_managed,employee_size,employee_size_value,marketing_health_check,sales_health_check,count_calls_by_owner_l90,count_emails_by_owner_l90_measure,count_of_integrations,renewal_month,subscription_cancel,cancel_dollars,primary_colors,age,edition
24891,2022-03,318095,CMSHub,8,24,240.0,late_cancel,NAM,MID-MARKET,BARNEA,Yes,26 to 200,200.0,4,0,2.0,18.0,54.0,1.0,1.0,-240.0,1.0,60.0,Professional
24892,2022-03,365438,CMSHub,31,1,123.02,prior_cancel,NAM,MID-MARKET,BARRETT-HICKEY,Yes,201 or Above,500.0,4,2,0.0,2.0,34.0,1.0,0.0,0.0,1.0,97.0,Professional
24893,2022-03,367510,CMSHub,31,1,240.0,prior_cancel,APAC,JAPAC CST,APAC CST,No,26 to 200,200.0,0,0,0.0,0.0,11.0,1.0,1.0,-240.0,0.0,96.0,Professional
24894,2022-03,372667,CMSHub,23,9,270.0,early_cancel,NAM,NAM CST,CST,Yes,26 to 200,50.0,4,2,0.0,0.0,17.0,1.0,1.0,-270.0,1.0,84.0,Professional
24895,2022-03,372667,SalesHub,25,7,50.0,early_cancel,NAM,NAM CST,CST,Yes,26 to 200,50.0,4,2,0.0,0.0,17.0,1.0,1.0,-50.0,1.0,39.0,Starter
24896,2022-03,373432,CMSHub,23,9,300.0,early_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,4,0,0.0,0.0,3.0,1.0,1.0,-300.0,0.0,24.0,Professional
24897,2022-03,373432,MarketingHub,23,9,80.0,early_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,4,0,0.0,0.0,3.0,1.0,1.0,-80.0,0.0,96.0,Starter
24898,2022-03,414273,CMSHub,31,1,300.0,prior_cancel,NAM,MID-MARKET,RODRIGUEZ,Yes,26 to 200,200.0,4,3,0.0,2.0,34.0,1.0,0.0,0.0,0.0,47.0,Professional
24899,2022-03,414273,MarketingHub,31,1,3780.0,prior_cancel,NAM,MID-MARKET,RODRIGUEZ,Yes,26 to 200,200.0,4,3,0.0,2.0,34.0,1.0,0.0,0.0,3.0,93.0,Enterprise
24900,2022-03,450632,CMSHub,31,1,300.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,50.0,0,0,0.0,0.0,9.0,1.0,1.0,-300.0,0.0,88.0,Professional
24901,2022-03,450632,MarketingHub,31,1,100.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,50.0,0,0,0.0,0.0,9.0,1.0,1.0,-100.0,0.0,88.0,Starter
24902,2022-03,450632,SalesHub,31,1,50.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,50.0,0,0,0.0,0.0,9.0,1.0,1.0,-50.0,0.0,34.0,Starter
24903,2022-03,469746,CMSHub,31,1,900.0,prior_cancel,NAM,MID-MARKET,REYNOLDS,No,26 to 200,200.0,0,0,0.0,0.0,20.0,1.0,1.0,-900.0,0.0,87.0,Enterprise
24904,2022-03,493766,CMSHub,21,11,200.0,early_cancel,NAM,NAM CST,CST,No,201 or Above,500.0,4,0,0.0,0.0,6.0,1.0,1.0,-200.0,0.0,84.0,Professional
24905,2022-03,493766,MarketingHub,21,11,950.0,early_cancel,NAM,NAM CST,CST,No,201 or Above,500.0,4,0,0.0,0.0,6.0,1.0,1.0,-950.0,1.0,84.0,Professional
24906,2022-03,508496,CMSHub,31,1,300.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,0,0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,71.0,Professional
24907,2022-03,525289,CMSHub,9,23,373.33,late_cancel,EMEA,EMEA CST,EMEA CST,No,1 to 25,10.0,0,0,0.0,0.0,6.0,0.0,1.0,-373.33,1.0,15.0,Professional
24908,2022-03,697682,CMSHub,21,11,50.0,early_cancel,NAM,MID-MARKET,REYNOLDS,No,26 to 200,50.0,4,0,0.0,0.0,4.0,1.0,1.0,-50.0,0.0,80.0,Professional
24909,2022-03,1553416,CMSHub,31,1,240.0,prior_cancel,NAM,MID-MARKET,BARRETT-HICKEY,No,26 to 200,50.0,4,2,0.0,0.0,26.0,1.0,0.0,0.0,1.0,78.0,Professional
24910,2022-03,1553416,MarketingHub,31,1,2718.0,prior_cancel,NAM,MID-MARKET,BARRETT-HICKEY,No,26 to 200,50.0,4,2,0.0,0.0,26.0,1.0,0.0,0.0,3.0,78.0,Enterprise
24911,2022-03,1652806,CMSHub,31,1,273.0,prior_cancel,NAM,MID-MARKET,REYNOLDS,No,26 to 200,200.0,4,1,0.0,7.0,5.0,1.0,1.0,-273.0,0.0,41.0,Professional
24912,2022-03,1652806,MarketingHub,31,1,1050.0,prior_cancel,NAM,MID-MARKET,REYNOLDS,No,26 to 200,200.0,4,1,0.0,7.0,5.0,1.0,1.0,-1050.0,0.0,75.0,Professional
24913,2022-03,1652806,SalesHub,31,1,50.0,prior_cancel,NAM,MID-MARKET,REYNOLDS,No,26 to 200,200.0,4,1,0.0,7.0,5.0,1.0,1.0,-50.0,1.0,63.0,Professional
24914,2022-03,1842736,CMSHub,31,1,300.0,prior_cancel,NAM,SMB,RUSSELL,No,201 or Above,118899.0,0,0,0.0,0.0,23.0,1.0,1.0,-300.0,0.0,9.0,Professional
24915,2022-03,1961861,CMSHub,31,1,240.04,prior_cancel,NAM,NAM CST,CST,No,26 to 200,50.0,0,2,0.0,0.0,11.0,1.0,1.0,-240.04,0.0,6.0,Professional
24916,2022-03,1961861,MarketingHub,31,1,60.1,prior_cancel,NAM,NAM CST,CST,No,26 to 200,50.0,0,2,0.0,0.0,11.0,1.0,1.0,-60.1,0.0,6.0,Starter
24917,2022-03,2040886,CMSHub,5,27,13.33,late_cancel,NAM,NAM CST,CST,No,1 to 25,10.0,3,1,0.0,0.0,3.0,1.0,1.0,-13.33,0.0,1.0,Starter
24918,2022-03,2040886,MarketingHub,5,27,26.67,late_cancel,NAM,NAM CST,CST,No,1 to 25,10.0,3,1,0.0,0.0,3.0,1.0,1.0,-26.67,1.0,17.0,Starter
24919,2022-03,2040886,OperationsHub,5,27,26.67,late_cancel,NAM,NAM CST,CST,No,1 to 25,10.0,3,1,0.0,0.0,3.0,1.0,1.0,-26.67,0.0,1.0,Starter
24920,2022-03,2040886,SalesHub,5,27,26.67,late_cancel,NAM,NAM CST,CST,No,1 to 25,10.0,3,1,0.0,0.0,3.0,1.0,1.0,-26.67,2.0,53.0,Professional
24921,2022-03,2040886,ServiceHub,5,27,26.67,late_cancel,NAM,NAM CST,CST,No,1 to 25,10.0,3,1,0.0,0.0,3.0,1.0,1.0,-26.67,0.0,17.0,Starter
24922,2022-03,2041226,CMSHub,31,1,280.0,prior_cancel,EMEA,FRANCE,LAUTH,Yes,26 to 200,50.0,4,1,2.0,4.0,22.0,1.0,1.0,-280.0,1.0,36.0,Professional
24923,2022-03,2094271,CMSHub,31,1,80.0,prior_cancel,NAM,NAM CST,CST,Yes,26 to 200,200.0,4,0,0.0,2.0,4.0,1.0,1.0,-80.0,1.0,72.0,Professional
24924,2022-03,2094271,MarketingHub,31,1,160.0,prior_cancel,NAM,NAM CST,CST,Yes,26 to 200,200.0,4,0,0.0,2.0,4.0,1.0,1.0,-160.0,0.0,72.0,Basic
24925,2022-03,2155918,CMSHub,31,1,89.6,prior_cancel,EMEA,EMEA CST,EMEA CST,No,201 or Above,5000.0,3,0,0.0,0.0,2.0,1.0,1.0,-89.6,0.0,72.0,Professional
24926,2022-03,2155918,MarketingHub,31,1,892.16,prior_cancel,EMEA,EMEA CST,EMEA CST,No,201 or Above,5000.0,3,0,0.0,0.0,2.0,1.0,1.0,-892.16,1.0,72.0,Professional
24927,2022-03,2187797,CMSHub,31,1,25.0,prior_cancel,NAM,MID-MARKET,BARRETT-HICKEY,No,26 to 200,50.0,4,0,2.0,1.0,23.0,1.0,1.0,-25.0,0.0,6.0,Starter
24928,2022-03,2241989,CMSHub,29,3,0.12,early_cancel,NAM,SMB,MASTANDREA,Yes,1 to 25,25.0,4,4,0.0,3.0,57.0,1.0,1.0,-0.12,1.0,2.0,Enterprise
24929,2022-03,2292609,CMSHub,31,1,100.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,3,0,0.0,2.0,7.0,1.0,1.0,-100.0,0.0,66.0,Professional
24930,2022-03,2292609,MarketingHub,31,1,800.0,prior_cancel,NAM,NAM CST,CST,No,26 to 200,200.0,3,0,0.0,2.0,7.0,1.0,1.0,-800.0,0.0,69.0,Professional
24931,2022-03,2334522,CMSHub,31,1,229.3,prior_cancel,EMEA,UKI MM/CORP,CARROLL,No,26 to 200,200.0,4,2,0.0,12.0,21.0,1.0,1.0,-229.3,1.0,60.0,Professional
24932,2022-03,2334522,OperationsHub,31,1,482.192,prior_cancel,EMEA,UKI MM/CORP,CARROLL,No,26 to 200,200.0,4,2,0.0,12.0,21.0,1.0,1.0,-482.192,0.0,11.0,Professional
24933,2022-03,2334522,ServiceHub,31,1,241.096,prior_cancel,EMEA,UKI MM/CORP,CARROLL,No,26 to 200,200.0,4,2,0.0,12.0,21.0,1.0,1.0,-241.096,1.0,11.0,Professional
24934,2022-03,2409576,CMSHub,2,30,298.664,late_cancel,EMEA,EMEA CST,EMEA CST,Yes,26 to 200,200.0,4,1,0.0,0.0,11.0,1.0,1.0,-298.664,1.0,50.0,Professional
24935,2022-03,2409576,MarketingHub,2,30,1269.336,late_cancel,EMEA,EMEA CST,EMEA CST,Yes,26 to 200,200.0,4,1,0.0,0.0,11.0,1.0,1.0,-1269.336,1.0,50.0,Professional
24936,2022-03,2409576,SalesHub,2,30,49.064,late_cancel,EMEA,EMEA CST,EMEA CST,Yes,26 to 200,200.0,4,1,0.0,0.0,11.0,1.0,1.0,-49.064,0.0,47.0,Starter
